cod_provin,provincia,cod_canton,canton,idsc,area_km2,pob,dpob,pob_menor_15a,pob_15_64a,pob_65a_mas,nacimientos,tasa_natalidad_1k,defunciones_infantiles,tasa_mortalidad_infantil_1k,defunciones_totales,tm_general_1k,tm_a_transit_10k,tm_esc_10k,tm_ce_10k,tm_emd_10k,tm_sui_10k,tm_nm_10k,cob_BCG_por,cob_DPT3_1a,cob_IPV_1a,cob_VHB3_1a,cob_HIB3_1a,cob_SRP_1a_3m,vac_neumo_cob_NM2_por,ti_sida_100k,ti_sifilis_100k,ti_tuber_100k,ti_eqz_100k,ti_ta_bipolar_100k,cr_i_sui_abs,ED_abs
1,San José,101,San José,75.5,44.62,314748,7054,76043,247687,28224,5545,17.6,65,11.7,1834,5.8,1.1,17.5,5.6,1.9,0.7,12.3,37.6,79.9,76,85,66.6,81.6,77.5,3.49,47.02,20.4,11.76,11.12,32,9205
1,San José,102,Escazú,100,34.53,61566,1785,12441,44116,4698,941,15.3,12,12.8,309,5,1.6,15.1,6,2.3,1.3,10.2,21.1,77.4,77.3,69.8,77.8,70.5,62.5,1.62,12.99,4.9,0,1.62,5,547
1,San José,103,Desamparados,67.1,118.98,227159,1935.6,74333,213929,16352,3207,14.1,37,11.5,1002,4.4,1,13,4.3,1.3,0.84,10.2,90.3,83.1,76.3,78.4,81.8,75.6,82,0.88,38.74,10.6,4.4,3.08,31,1112
1,San José,104,Puriscal,54.4,555.02,35705,64.5,7858,20264,3067,383,10.7,4,10.4,170,4.8,0.8,17.6,3.4,1.1,1.12,11.8,11.5,102.9,102.9,103.1,102.9,105.3,101.6,0,5.6,8.4,0,0,26,71
1,San José,105,Tarrazú,32.6,291.27,17807,75.1,4816,10735,1088,258,14.5,0,0,54,3,1.1,8.4,6.7,0,1.68,5.6,99.6,101.9,101.9,101.2,101.9,87.2,91.5,0,50.54,11.3,0,0,24,129
1,San José,106,Aserrí,51.9,168.26,63159,375.9,13364,38848,3281,845,13.4,9,10.7,232,3.7,0.8,9.3,3,2.1,0.95,8.2,81.5,97.6,79.8,92.4,96.4,92.6,86.7,0,19,12.7,23.75,4.75,2,702
1,San José,107,Mora,63.9,163.47,28554,176.2,6487,18740,2047,388,13.6,2,5.2,120,4.2,1.1,14,3.9,1.8,1.05,9.8,7,88.9,89.2,95.6,82.2,93.6,79.9,0,21.01,7,7,0,15,705
1,San José,108,Goicoechea,75.3,31.7,124987,3967.8,26944,95151,10280,1533,12.3,14,9.1,598,4.8,0.8,14,3.8,1.4,0.4,11.6,78.9,105.5,105.6,103.1,105.4,92.9,105.5,0,24.8,4.8,4.8,4,50,2435
1,San José,109,Santa Ana,89.9,61.42,53689,874.1,9841,31561,2922,785,14.6,11,14,212,3.9,1.1,11,4.8,0.7,1.3,10.1,20,84.1,85.1,85.4,84.6,71.2,69.3,0,11.18,7.5,0,7.45,10,640
1,San José,110,Alajuelita,59.4,21.38,84752,4003.4,36541,89925,5264,1222,14.4,15,12.3,324,3.8,0.6,9.3,4.5,1.1,0.47,10.3,27.7,91.3,91.3,91,91.2,89,83.2,2.36,49.56,15.4,40.12,15.34,10,173
1,San José,111,Vázquez de Coronado,81.2,223.93,65862,296.4,19312,59282,4819,852,12.9,10,11.7,265,4,0.5,12.8,3.8,0.6,0.91,10.6,81.9,102.9,102.8,101.9,102.9,93.5,103.9,0,6.07,3.1,4.55,0,49,2456
1,San José,112,Acosta,37.8,342.56,21962,64.2,4806,12904,1574,268,12.2,1,3.7,93,4.2,1.8,13.2,3.2,0.9,0.46,8.7,73.9,88.8,95.1,98.1,95.1,94.7,84.3,0,22.77,0,4.55,0,7,224
1,San José,113,Tibás,76.2,8.27,70494,8649.6,10359,44131,6368,1032,14.6,7,6.8,418,5.9,1.1,17.7,5.8,1.4,0.28,13.6,24.7,80.1,81.2,77.5,84.2,79,67.9,7.09,19.86,14.2,0,1.42,5,1182
1,San José,114,Moravia,88.7,28.82,61600,2152.3,10210,39848,4959,572,9.3,1,1.7,272,4.4,1,14.3,2.9,1.3,0.81,13,60.5,97.6,98.1,96.5,97.9,78.5,86.5,0,14.61,4.9,1.62,6.49,11,775
1,San José,115,Montes de Oca,96.5,15.78,53125,3504.3,8901,40260,5205,536,10.1,7,13.1,296,5.6,0.8,19.8,3.6,0.6,0.56,14.3,49.3,93.1,93.3,92.5,93.3,73.3,92.4,0,5.65,5.7,0,0,0,22
1,San José,116,Turrubares,37.6,416.25,5974,14.4,1109,3100,387,67,11.2,0,0,19,3.2,1.7,5,6.7,0,1.67,8.4,28.4,80.6,76.1,80.6,73.1,57.4,86.6,0,0,0,0,0,2,17
1,San José,117,Dota,39.5,404.44,7571,16.7,1746,4371,500,128,16.9,3,23.4,45,5.9,0,14.5,2.6,2.6,1.32,21.1,94.5,94.5,94.5,93,94.5,116.7,97.7,0,0,79.8,13.21,0,8,107
1,San José,118,Curridabat,81.8,16.06,71148,4460.7,15098,52999,5172,953,13.4,8,8.4,265,3.7,0.6,12.2,3.5,0.6,0.28,9.4,71.2,87.7,88.8,88,87.7,75.3,83.2,0,7.03,15.5,1.41,12.65,20,45
1,San José,119,Pérez Zeledón,50.6,1901.08,147025,77.2,35680,85505,9203,1991,13.5,13,6.5,590,4,1.3,10.3,3.6,1.1,0.82,11.1,100.5,109.6,109.6,108.8,109.6,93,107.7,0,4.08,2.7,1.36,10.2,39,1753
1,San José,120,León Cortés Castro,30,121.89,13303,110.1,3984,8630,806,182,13.7,4,22,43,3.2,1.5,8.3,2.3,1.5,0,9,81.3,92.9,92.9,92.9,92.9,80.6,87.4,0,7.52,7.6,0,7.52,15,43
2,Alajuela,201,Alajuela,65.3,391.62,278246,715.3,66665,201749,18797,4071,14.6,28,6.9,1174,4.2,1.6,12.1,4.5,1.2,0.86,9.3,92.6,98.2,98.2,94.6,98.2,90.5,94.8,0.72,5.39,12.3,0,0,4,2094
2,Alajuela,202,San Ramón,60.8,1021.74,87777,88.6,23301,59885,6674,1205,13.7,4,3.3,323,3.7,1.4,12.3,3.6,0.9,0.46,9,89.5,90.4,90.4,120.1,90.4,96.6,94.8,4.56,0,1.1,6.84,0,33,729
2,Alajuela,203,Grecia,56.7,142.45,83815,211.7,20379,56840,5802,1250,14.9,11,8.8,357,4.3,0.6,13.1,3.2,1,0.6,10.3,96.2,96.8,96.8,94.4,96.8,88.6,96.6,1.19,25.06,3.6,0,0,52,1197
2,Alajuela,204,San Mateo,63.2,125.03,6601,52.4,1217,3952,630,52,7.9,3,57.7,32,4.8,0,15.1,1.5,3,0,4.5,59.6,115.4,115.4,105.8,115.4,78.7,107.7,0,0,0,0,0,0,94
2,Alajuela,205,Atenas,77.3,126.31,27533,216.8,5881,18030,2359,305,11.1,0,0,142,5.2,0.4,22.5,3.6,1.5,0.73,12.7,60.7,108.2,108.2,100,108.2,105.1,101,0,3.63,14.6,0,0,1,410
2,Alajuela,206,Naranjo,55.2,127.01,46475,365.9,11782,30659,3340,599,12.9,9,15,202,4.3,1.3,12.5,3.9,0.2,1.51,10.5,43.9,103.8,103.8,87.5,103.8,103.4,105.7,0,2.15,0,0,0,20,325
2,Alajuela,207,Palmares,82.5,38.94,37589,989.2,9325,26329,2927,442,11.8,3,6.8,182,4.8,0.3,15.7,3.5,0.5,1.33,10.9,76.9,89.6,89.6,92.5,89.6,100.7,79.9,0,23.94,0,5.32,0,22,1219
2,Alajuela,208,Poás,60.1,74.5,31872,430.7,7961,21896,1906,418,13.1,4,9.6,116,3.6,0,12.2,1.6,1.6,0.31,7.8,110.3,118.7,118.7,116.7,118.7,91.6,121.3,0,3.14,9.5,0,0,5,335
2,Alajuela,209,Orotina,53.7,145.11,22155,156,4740,12760,1527,318,14.4,1,3.1,105,4.7,1.8,12.6,6.3,1.4,0.45,10.8,58.5,91.5,91.5,83.3,91.5,110.8,82.7,0,0,0,0,0,0,336
2,Alajuela,210,San Carlos,40.6,3352.31,180569,53.6,41578,100870,8921,3324,18.4,14,4.2,538,3,1.6,7.5,3.7,0.5,0.33,7.7,102,97.1,97.1,98,97.1,94.3,97.7,1.66,5.54,0,0,1.11,25,982
2,Alajuela,211,Zarcero,73.2,157.36,13341,86.1,4140,9976,1135,215,16.1,2,9.3,56,4.2,1.5,12,3,2.2,0,10.5,26,103.7,103.7,101.9,103.7,84.4,94.4,0,14.99,0,7.5,0,9,6
2,Alajuela,212,Sarchí,59.4,136.76,19715,164.3,4838,12062,1383,215,10.9,2,9.3,62,3.1,0.5,12.2,1.5,0,1.01,7.1,30.7,128.4,128.4,128.4,128.4,101.5,121.4,5.07,0,5.1,0,0,11,224
2,Alajuela,213,Upala,22.5,1592.67,48494,30.4,9921,23380,2840,919,19,7,7.6,147,3,1.2,6.2,5.2,1.2,0.82,7,98,96,96,94.6,96,95,97.8,0,0,2.1,0,0,4,59
2,Alajuela,214,Los Chiles,14.9,1332.71,26475,19.5,6048,13416,1169,635,24,7,11,79,3,2.3,6.4,4.5,0.8,0.76,6.4,97,89.6,89.6,86.9,89.6,85.9,92.3,0,3.78,0,0,0,3,19
2,Alajuela,215,Guatuso,23.5,752.84,17049,22.9,4356,10978,1247,326,19.1,3,9.2,56,3.3,0.6,11.7,2.9,1.8,0,4.7,96.6,100.9,100.9,100.6,100.9,105.7,97.9,0,0,0,0,0,1,61
2,Alajuela,216,Río Cuarto,,254.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Cartago,301,Cartago,68.2,278.66,160884,565.5,36792,109256,10878,2046,12.7,18,8.8,660,4.1,0.7,12.1,2.4,0.9,0.31,9.9,93.1,103.5,103.5,98.9,103.5,94.8,99.1,0.62,5.59,2.5,1.24,0,73,179
3,Cartago,302,Paraíso,59.6,476.99,63113,153.2,17690,48153,4106,918,14.5,9,9.8,220,3.5,0.5,10.6,3.5,0.6,0.63,7.9,94.9,98.4,98.4,99,98.4,96.5,98.5,0,22.18,6.4,1.58,0,25,106
3,Cartago,303,La Unión,68.6,44.18,108006,2409.2,25202,76311,6167,1271,11.8,6,4.7,387,3.6,0.6,10.5,3.6,1.7,1.02,8.2,37.4,70.5,70.5,64.9,70.5,67.2,66.8,0,4.63,2.8,6.48,0.93,37,826
3,Cartago,304,Jiménez,47.1,250.07,15971,56.1,3273,9396,1051,233,14.6,0,0,55,3.4,0.6,7.5,1.9,1.3,0,8.8,70,88.8,88.8,92.7,88.8,103.7,95.7,0,12.52,0,112.7,31.31,1,104
3,Cartago,305,Turrialba,30.4,1589.25,76034,45.7,16139,48381,5854,1191,15.7,16,13.4,365,4.8,0.7,12.4,3.9,1.6,0.39,11.6,93.9,96.9,96.9,94.6,96.9,97.2,96.6,1.32,2.63,7.9,80.23,46.03,7,552
3,Cartago,306,Alvarado,59.9,79.18,15592,192.4,3487,9250,970,191,12.2,2,10.5,56,3.6,1.9,10.3,3.2,2.6,0,8.3,116.8,106.8,106.8,97.9,106.8,121.3,109.4,0,0,12.9,0,0,5,4
3,Cartago,307,Oreamuno,57.2,202.9,49531,240.9,11234,30930,2667,650,13.1,3,4.6,195,3.9,0.2,10.7,3,0.8,1.01,10.1,95.2,95.7,95.7,100.6,95.7,89.7,96.6,0,2.02,0,2.02,2.02,23,1
3,Cartago,308,El Guarco,61,172,45618,272,9103,26857,2238,628,13.8,5,8,141,3.1,1.5,8.8,3.5,1.1,0.66,9.2,93,97.9,97.9,85.8,97.9,112.2,99.8,0,10.96,0,0,0,22,0
4,Heredia,401,Heredia,72.8,283.11,134681,476.6,29571,96782,8464,1798,13.4,9,5,557,4.1,0.8,13.5,2.7,0.4,0.15,10.3,129.3,91.3,91.3,91.5,91.3,87.4,93.4,2.97,2.23,11.2,0,0,3,347
4,Heredia,402,Barva,71.7,56.01,44246,822.4,8551,28399,2543,532,12,6,11.3,152,3.4,0.2,9.3,1.8,0.2,0.9,11.3,98.1,100,100,99.8,100,96.5,100.4,4.52,6.78,2.3,0,0,1,176
4,Heredia,403,Santo Domingo,80.7,25.4,43344,1629.5,7007,26784,3749,481,11.1,2,4.2,240,5.5,1.2,16.8,5.1,1.2,0.69,12.7,78.8,102.7,102.7,92.1,102.7,107.4,106.2,2.31,2.31,6.9,0,0,2,629
4,Heredia,404,Santa Bárbara,73,52.11,39418,740.8,7937,24686,2219,500,12.7,2,4,148,3.8,1.5,11.2,2.8,0.3,0.76,11.7,93,102.2,102.2,102.2,102.2,105.5,88.8,0,5.07,0,0,0,3,372
4,Heredia,405,San Rafael,72.7,48.31,50118,1042.4,9221,31587,2921,674,13.4,7,10.4,177,3.5,0.2,11.2,1.6,0.8,0.6,10,63.1,82.9,82.9,83.8,82.9,73.5,75.5,7.98,9.98,8,0,0,0,828
4,Heredia,406,San Isidro,76.9,26.67,22379,877.3,5062,15762,1583,287,12.8,2,7,103,4.6,2.7,13.9,5.4,0.9,1.34,11.2,72.1,78,78,75.3,78,92.8,84.3,4.47,26.81,9,0,4.47,3,223
4,Heredia,407,Belén,93.5,12.38,23533,1992.6,4707,17223,1710,301,12.8,1,3.3,104,4.4,1.7,12.3,6.4,0.4,0.42,11,60.5,82.1,82.1,81.1,82.1,77.3,79.1,0,4.25,0,0,4.25,0,368
4,Heredia,408,Flores,91.7,6.75,21824,3135.6,3589,12707,1448,322,14.8,2,6.2,99,4.5,1.8,11.9,3.2,0.5,0,15.1,56.8,101.9,101.9,101.2,101.9,101,100.3,0,4.58,0,0,0,1,389
4,Heredia,409,San Pablo,99,8.34,30006,3974.3,4592,17311,1922,327,10.9,1,3.1,112,3.7,0.7,11.7,2,1,0.67,7,62.7,96.9,96.9,90.5,96.9,87.6,85.3,6.67,16.66,3.3,0,0,0,144
4,Heredia,410,Sarapiquí,21.2,2144.38,62938,29.4,23045,52108,3139,1069,17,13,12.2,208,3.3,1.7,10,3.8,1.3,0.32,7.5,89.5,111.9,111.9,110.5,111.9,106.2,107.8,1.59,0,11.2,0,0,4,124
5,Guanacaste,501,Liberia,56.2,1442.17,69371,48.3,12754,37806,3736,1293,18.6,12,9.3,278,4,2.2,10.5,4.5,0.6,0.72,8.1,99.6,99,99,98.8,99,93.6,101.5,1.44,5.77,24.7,1.44,1.44,10,212
5,Guanacaste,502,Nicoya,39.1,1334.28,55355,41.5,8813,27302,4758,753,13.6,6,8,279,5,2.3,15,6.3,1.3,1.26,9.8,98.7,98.8,98.8,98.7,98.8,96.2,96.5,0,1.81,0,0,0,1,142
5,Guanacaste,503,Santa Cruz,53,1320.81,60082,45.3,9422,30267,4310,918,15.3,6,6.5,296,4.9,1.3,15.8,4.2,1.7,0.5,10.7,91.1,94.6,94.6,94.1,94.6,94.3,97.4,1.66,11.65,13.4,0,1.66,2,111
5,Guanacaste,504,Bagaces,42.2,1277.93,21319,16.7,4974,12894,1293,297,13.9,0,0,84,3.9,3.3,10.8,6.6,0,0,8,96,103.4,103.4,109.1,103.4,100,109.1,0,18.76,14.1,0,0,0,46
5,Guanacaste,505,Carrillo,62.8,599.01,40719,72.1,7227,20783,2219,735,18.1,9,12.2,179,4.4,1.7,12,4.7,1.7,0.49,8.6,97.8,90.7,90.7,91,90.7,100.5,90.5,4.91,4.91,9.9,0,2.46,0,0
5,Guanacaste,506,Cañas,37.2,683.89,28767,42.2,6150,16834,1701,483,16.8,1,2.1,137,4.8,2.4,14.3,5.2,0.7,0.7,7.3,95.7,97.7,97.7,97.5,97.7,97.6,97.1,3.48,17.38,7,0,6.95,18,743
5,Guanacaste,507,Abangares,36,646.02,19692,29.1,4192,11136,1429,284,14.4,0,0,98,5,1,15.2,5.1,2,1.52,9.1,90.8,102.8,102.8,102.8,102.8,93,100.4,5.08,5.08,5.1,0,0,6,300
5,Guanacaste,508,Tilarán,56.6,669.23,21360,33.5,3862,11031,1682,276,12.9,4,14.5,82,3.8,0.9,12.2,3.7,0.9,0.94,9.4,94.6,110.9,110.9,109.8,110.9,95.4,110.5,0,0,4.7,4.68,0,11,120
5,Guanacaste,509,Nandayure,47,568.14,12072,21.3,2279,6366,1151,154,12.8,1,6.5,47,3.9,4.1,9.9,6.6,0,0,5.8,94.2,95.5,95.5,96.1,95.5,100.6,94.2,0,16.57,0,0,0,1,224
5,Guanacaste,510,La Cruz,27.2,1385.38,21213,15.3,4604,11520,1182,423,19.9,4,9.5,76,3.6,4.2,7.5,9,0.5,1.41,4.2,94.6,100.9,100.9,103.1,100.9,84.3,99.8,0,4.71,9.5,0,4.71,8,0
5,Guanacaste,511,Hojancha,61.8,262.99,7829,29.9,1539,4318,698,88,11.2,0,0,22,2.8,0,8.9,1.3,1.3,0,6.4,97.7,114.8,114.8,114.8,114.8,89.8,101.1,0,12.77,0,0,0,0,0
6,Puntarenas,601,Puntarenas,39.2,1840.37,125759,68.3,25313,72603,7877,1947,15.5,18,9.2,593,4.7,1.9,12.5,4.8,2,0.48,10.5,56.8,95.2,95.2,94,95.2,89.8,106,0.8,2.39,12,0.8,0,7,1413
6,Puntarenas,602,Esparza,59,217.23,31224,140.8,6956,19050,2273,420,13.5,5,11.9,126,4,2.2,9.3,3.8,0.3,0.96,11.5,60.7,126.7,126.7,120.2,126.7,127.6,134,0,25.62,0,0,0,0,251
6,Puntarenas,603,Buenos Aires,16.1,2382.94,49895,20.9,13209,27676,2580,890,17.8,9,10.1,135,2.7,0.8,7.4,3,1.8,0.8,5.2,95.6,102.8,102.8,103.5,102.8,93.6,102.1,0,2,0,0,0,21,566
6,Puntarenas,604,Montes de Oro,47.4,247.59,14076,57.5,3229,8854,1229,176,12.5,2,11.4,52,3.7,0,11.4,2.1,0.7,0.71,7.8,80.1,140.9,140.9,139.2,140.9,103.9,123.9,0,0,0,0,0,0,188
6,Puntarenas,605,Osa,29.2,1932.03,32181,16.7,4978,13970,1829,502,15.6,3,6,136,4.2,2.2,6.8,6.8,2.2,0.31,12.1,92.8,92.6,92.6,94.6,92.6,95.5,94.4,0,24.86,6.2,0,3.11,3,19
6,Puntarenas,606,Quepos,38.7,560.29,29471,53.6,6030,16822,1507,537,18.2,5,9.3,104,3.5,1.4,8.8,6.1,3.1,0.34,4.4,74.5,74.3,74.3,73.7,74.3,91,84.5,0,3.39,6.8,0,0,0,0
6,Puntarenas,607,Golfito,21.4,1753.42,42923,24.5,6945,20187,2365,677,15.8,2,3,174,4.1,1.6,9.1,5.4,2.3,0.47,9.6,93.9,107.4,107.4,107.8,107.4,88.1,109,0,9.32,0,0,0,0,0
6,Puntarenas,608,Coto Brus,29.3,944.24,42392,45.3,9085,23095,2607,777,18.3,10,12.9,162,3.8,1.7,10.9,3.5,3.1,0.24,7.5,94,90,90,91.2,90,88.3,90.9,0,14.15,4.8,0,0,16,611
6,Puntarenas,609,Parrita,28.7,480.36,17611,36.8,2969,8531,984,261,14.8,0,0,60,3.4,2.8,5.7,6.8,1.1,0.57,6.8,71.3,106.1,106.1,106.1,106.1,114.6,105.7,0,5.68,5.7,0,0,0,352
6,Puntarenas,610,Corredores,25.1,623.61,45904,74,7942,22026,2313,757,16.5,6,7.9,201,4.4,3.5,12,6.1,1.7,0.87,7.8,94.7,102.8,102.8,104.6,102.8,106.8,103.6,0,45.75,2.2,0,0,0,0
6,Puntarenas,611,Garabito,46.1,316.01,19064,60.3,5429,17022,938,414,21.7,1,2.4,67,3.5,5.2,6.3,11.5,3.1,1.05,4.2,62.8,86,86,87.4,86,93.6,94.9,0,10.49,21.2,0,0,0,119
7,Limón,701,Limón,27.3,1769.38,104205,59,27928,71751,5832,2159,20.7,18,8.3,464,4.5,2.2,10.9,6.6,2.9,0.19,8.3,90.9,85.6,85.6,86,85.6,80.3,82.4,0,48.94,29,0,0.23,0,0
7,Limón,702,Pocorí,36.1,2408.76,138312,57.5,41375,105628,7269,2351,17,27,11.5,455,3.3,1.9,8.5,5.1,0.9,0.58,6.4,95.2,97.2,97.2,95.6,97.2,124.5,97.6,0,34.7,8.7,0,0,8,6
7,Limón,703,Siquirres,33.1,855.15,62453,72.6,16935,41314,3010,1046,16.7,5,4.8,210,3.4,1.9,8.8,5.9,2.1,0.48,4.8,62,107.2,107.2,108.3,107.2,101.1,108,0,6.4,16.1,0,0,3,273
7,Limón,704,Talamanca,0,2792.23,34378,12.2,10579,22175,1254,925,26.9,13,14.1,121,3.5,2.3,6.7,8.1,2,2.33,4.7,78.4,91.6,91.6,91.8,91.6,86,101.1,0,14.54,58.8,0,1.6,3,43
7,Limón,705,Matina,26.6,770.4,41778,54.1,13602,32875,1726,819,19.6,11,13.4,136,3.3,1.4,6.7,5.7,1,0,4.5,73.1,107.9,107.9,105.5,107.9,97.4,103.2,0,4.79,7.2,0,0,4,78
7,Limón,706,Guácimo,35.1,581.05,45474,78.9,13483,32425,2470,787,17.3,9,11.4,162,3.6,0.9,8.4,6.8,1.5,1.76,5.9,98,101,101,101.3,101,95.5,100.8,0,4.4,15.5,0,0,5,0
